epoch,step,train_loss,val_loss
0,49,2.66220760345459,
0,99,0.8752477169036865,
0,149,-0.9704583883285522,
0,199,-1.8808794021606445,
0,249,-1.540628433227539,
0,299,-2.934574604034424,
0,349,-3.869347095489502,
0,351,,1.6297099590301514
1,399,-3.753528118133545,
1,449,-3.2803735733032227,
1,499,-5.246069431304932,
1,549,-2.758582353591919,
1,599,-4.274148941040039,
1,649,-4.661885738372803,
1,699,-4.001194953918457,
1,703,,-3.7112221717834473
2,749,-5.009469985961914,
2,799,-5.046311855316162,
2,849,-3.955845832824707,
2,899,-4.920668601989746,
2,949,-4.173911094665527,
2,999,-5.130766868591309,
2,1049,1.6130120754241943,
2,1055,,-4.136318206787109
3,1099,-4.513947486877441,
3,1149,-4.863766193389893,
3,1199,-5.544825077056885,
3,1249,-5.970995903015137,
3,1299,-3.280951499938965,
3,1349,-5.89348030090332,
3,1399,-6.076901912689209,
3,1407,,-6.165575981140137
4,1449,-3.1746468544006348,
4,1499,-5.550171375274658,
4,1549,-6.286561489105225,
4,1599,-6.312978267669678,
4,1649,-6.164212226867676,
4,1699,-6.404932975769043,
4,1749,-4.843031406402588,
4,1759,,-5.2872090339660645
5,1799,-5.64951229095459,
5,1849,-6.6701836585998535,
5,1899,-6.356119155883789,
5,1949,-5.735234260559082,
5,1999,-6.157015323638916,
5,2049,-6.473838806152344,
5,2099,-6.634352684020996,
5,2111,,-4.8757853507995605
6,2149,-6.304047584533691,
6,2199,-6.415809631347656,
6,2249,-2.654764175415039,
6,2299,-6.067333221435547,
6,2349,-6.7767415046691895,
6,2399,-6.040700435638428,
6,2449,-6.417929649353027,
6,2463,,-6.384280204772949
7,2499,-4.5357208251953125,
7,2549,-6.5685224533081055,
7,2599,-6.762090682983398,
7,2649,-5.143070697784424,
7,2699,-6.536186218261719,
7,2749,-6.562099456787109,
7,2799,-5.029858112335205,
7,2815,,-6.107288360595703
8,2849,-6.62749719619751,
8,2899,-6.805810451507568,
8,2949,-6.872810363769531,
8,2999,-5.42798376083374,
8,3049,-7.0075788497924805,
8,3099,-5.054293632507324,
8,3149,-6.297453880310059,
8,3167,,-6.812304496765137
9,3199,-6.907363414764404,
9,3249,-7.355177879333496,
9,3299,-6.213495254516602,
9,3349,-6.7299394607543945,
9,3399,-6.807477951049805,
9,3449,-7.0395965576171875,
9,3499,-5.9285407066345215,
9,3519,,-6.858973503112793
10,3549,-6.472541809082031,
10,3599,-6.271110534667969,
10,3649,-6.911486625671387,
10,3699,-6.4907450675964355,
10,3749,-6.263822555541992,
10,3799,-6.304860591888428,
10,3849,-7.103603839874268,
10,3871,,-7.218724250793457
11,3899,-7.353333473205566,
11,3949,-5.373785495758057,
11,3999,-6.805235862731934,
11,4049,-7.234879970550537,
11,4099,-7.601668357849121,
11,4149,-4.8437018394470215,
11,4199,-6.881634712219238,
11,4223,,-7.066221237182617
12,4249,-6.955707550048828,
12,4299,-7.174903869628906,
12,4349,-7.096954822540283,
12,4399,-7.181973457336426,
12,4449,-4.704782962799072,
12,4499,-6.826129913330078,
12,4549,-7.139468193054199,
12,4575,,-6.675583362579346
13,4599,-7.291866302490234,
13,4649,-6.781744956970215,
13,4699,-5.484679222106934,
13,4749,-6.874830722808838,
13,4799,-7.171771049499512,
13,4849,-7.533847808837891,
13,4899,-7.085651874542236,
13,4927,,-7.445334434509277
14,4949,-7.495866775512695,
14,4999,-6.175467491149902,
14,5049,-7.384777069091797,
14,5099,-6.852207183837891,
14,5149,-7.2453107833862305,
14,5199,-7.530471324920654,
14,5249,-4.894404411315918,
14,5279,,-7.186892032623291
15,5299,-7.257885932922363,
15,5349,-7.592334747314453,
15,5399,-5.052102088928223,
15,5449,-6.676104545593262,
15,5499,-7.357298374176025,
15,5549,-6.71450138092041,
15,5599,-7.082311630249023,
15,5631,,-7.597611904144287
16,5649,-6.777514934539795,
16,5699,-6.422499656677246,
16,5749,-7.260306358337402,
16,5799,-7.48822021484375,
16,5849,-6.858464241027832,
16,5899,-2.9555301666259766,
16,5949,-7.357519149780273,
16,5983,,-6.609210014343262
17,5999,-7.185171604156494,
17,6049,-7.6727142333984375,
17,6099,-7.260184288024902,
17,6149,-4.906367301940918,
17,6199,-7.249990463256836,
17,6249,-7.608469009399414,
17,6299,-7.480465412139893,
17,6335,,-4.457070827484131
18,6349,-4.41602087020874,
18,6399,-7.442333221435547,
18,6449,-7.744756698608398,
18,6499,-6.722407341003418,
18,6549,-6.941559791564941,
18,6599,-7.344372272491455,
18,6649,-7.169342994689941,
18,6687,,-6.723559379577637
19,6699,-6.72456169128418,
19,6749,-7.097744941711426,
19,6799,-7.0231828689575195,
19,6849,-5.0846428871154785,
19,6899,-6.818754196166992,
19,6949,-7.771151542663574,
19,6999,-7.455322265625,
19,7039,,-6.289751052856445
